"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300015","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-08-01,2012-08-31,"1300471",2012-08-17,"RETURN TO COMPLIANCE"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300015","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-08-01,2012-08-31,"1300470",2012-08-17,"OTHER INFORMAL ENFORCEMENT ACTION TAKEN"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300017","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-11-01,2012-11-30,"1300472",2012-12-12,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300017","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-11-01,2012-11-30,"1300473",2012-12-12,"RETURN TO COMPLIANCE"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300018","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-12-01,2012-12-31,"1400510",2013-01-11,"RETURN TO COMPLIANCE"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300018","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-12-01,2012-12-31,"1300474",2013-01-10,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300018","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-12-01,2012-12-31,"1300476",2013-01-10,"OTHER INFORMAL ENFORCEMENT ACTION TAKEN"
"CA0300037","JACKSON VALLEY IRRIGATION DISTRICT","IONE","AMADOR","95640","COMMUNITY","2000","190","DISTRICT 10 - STOCKTON","1300018","RES DISINFECT CONCENTRATION (SWTR)","SWTR",NA,NA,2012-12-01,2012-12-31,"1300475",2013-01-10,"OTHER INFORMAL ENFORCEMENT ACTION TAKEN"
"CA0310011","FIRST MACE MEADOW # 1","PINE GROVE","AMADOR","95665","COMMUNITY","838","337","DISTRICT 10 - STOCKTON","610006","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.069 MG/L","0.060 MG/L",2016-04-01,2016-06-30,"9810003",2018-06-14,"RETURN TO COMPLIANCE"
"CA0310011","FIRST MACE MEADOW # 1","PINE GROVE","AMADOR","95665","COMMUNITY","838","337","DISTRICT 10 - STOCKTON","610006","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.069 MG/L","0.060 MG/L",2016-04-01,2016-06-30,"9810002",2016-07-25,"FORMAL ENFORCEMENT ACTION ISSUED"
