"COUNTY","YEAR","WATER_SYSTEM_NUMBER","VIOLATION_TYPE_NAME","REGULATING_AGENCY","VIOL_MONTH","WaterSystemName","FederalWaterSystemType","StateWaterSystemType","WaterSystemStatus","OwnerType","PrimaryWaterSourceType","ResidentialPopulation","NonTransientPopulation","TransientPopulation","TotalPopulation","SC_Agricultural","SC_Combined","SC_Commercial","SC_Institutional","SC_Residential","SC_Total","FeeCodeDescription","SNSVVisitDate","CITY","TreatmentPlantClass","DistributionSystemClass","Kids","Teen","Senior","Adult1","Adult2"
"ALPINE",2012,"CA0210001","MCL,  AVERAGE","DISTRICT 10 - STOCKTON",7,"LAKE ALPINE WATER COMPANY","Community","Community","ACTIVE","Private","Surface Water",2650,0,0,2650,NA,485,0,0,0,485,"Small Community","9/30/2016","ARNOLD","Treatment Operator Level 2","Distribution Operator Level 2",141,133,106,101,685
"ALPINE",2016,"CA0210001","MCL, LRAA","DISTRICT 10 - STOCKTON",7,"LAKE ALPINE WATER COMPANY","Community","Community","ACTIVE","Private","Surface Water",2650,0,0,2650,NA,485,0,0,0,485,"Small Community","9/30/2016","ARNOLD","Treatment Operator Level 2","Distribution Operator Level 2",97,153,139,106,653
"ALPINE",2016,"CA0210001","MCL, LRAA","DISTRICT 10 - STOCKTON",10,"LAKE ALPINE WATER COMPANY","Community","Community","ACTIVE","Private","Surface Water",2650,0,0,2650,NA,485,0,0,0,485,"Small Community","9/30/2016","ARNOLD","Treatment Operator Level 2","Distribution Operator Level 2",97,153,139,106,653
"ALPINE",2017,"CA0210001","MCL, LRAA","DISTRICT 10 - STOCKTON",1,"LAKE ALPINE WATER COMPANY","Community","Community","ACTIVE","Private","Surface Water",2650,0,0,2650,NA,485,0,0,0,485,"Small Community","9/30/2016","ARNOLD","Treatment Operator Level 2","Distribution Operator Level 2",85,151,146,112,649
"ALPINE",2017,"CA0210001","MCL, LRAA","DISTRICT 10 - STOCKTON",4,"LAKE ALPINE WATER COMPANY","Community","Community","ACTIVE","Private","Surface Water",2650,0,0,2650,NA,485,0,0,0,485,"Small Community","9/30/2016","ARNOLD","Treatment Operator Level 2","Distribution Operator Level 2",85,151,146,112,649
"ALPINE",2017,"CA0210001","MCL, LRAA","DISTRICT 10 - STOCKTON",7,"LAKE ALPINE WATER COMPANY","Community","Community","ACTIVE","Private","Surface Water",2650,0,0,2650,NA,485,0,0,0,485,"Small Community","9/30/2016","ARNOLD","Treatment Operator Level 2","Distribution Operator Level 2",85,151,146,112,649
"ALPINE",2017,"CA0210001","MCL, LRAA","DISTRICT 10 - STOCKTON",10,"LAKE ALPINE WATER COMPANY","Community","Community","ACTIVE","Private","Surface Water",2650,0,0,2650,NA,485,0,0,0,485,"Small Community","9/30/2016","ARNOLD","Treatment Operator Level 2","Distribution Operator Level 2",85,151,146,112,649
"AMADOR",2014,"CA0310005","MCL, LRAA","DISTRICT 10 - STOCKTON",7,"PINE GROVE COMM SERV DIST","Community","Community","ACTIVE","Local","Surface Water Purchased",846,0,0,846,NA,386,0,0,0,386,"Disadvantaged Small Community Water System","6/1/2017","PINE GROVE","#N/A","Distribution Operator Level 1",3279,4030,5650,3737,20751
"AMADOR",2016,"CA0310012","MCL, LRAA","DISTRICT 10 - STOCKTON",10,"AWA BUCKHORN PLANT","Community","Community","ACTIVE","Local","Surface Water",9938,0,0,9938,NA,2759,0,0,0,2759,"Large Water System","4/4/2017","JACKSON","Treatment Operator Level 3","Distribution Operator Level 4",3143,3899,5977,3997,20175
"AMADOR",2017,"CA0310002","MCL, LRAA","DISTRICT 10 - STOCKTON",1,"AWA, IONE","Community","Community","ACTIVE","Local","Surface Water",6420,0,0,6420,NA,1837,0,0,0,1837,"Large Water System","10/17/2017","JACKSON","Treatment Operator Level 3","Distribution Operator Level 2",3176,3803,6200,4085,20003
"AMADOR",2017,"CA0310004","MCL, LRAA","DISTRICT 10 - STOCKTON",4,"PLYMOUTH, CITY OF","Community","Community","ACTIVE","Local","Surface Water Purchased",1060,0,0,1060,NA,495,0,0,0,495,"Small Community","5/30/2018","PLYMOUTH","#N/A","Distribution Operator Level 2",3176,3803,6200,4085,20003
"BUTTE",2012,"CA0400049","MCL,  AVERAGE","LPA34 - BUTTE COUNTY",7,"BUTTE CREEK MHP","Community","Community","ACTIVE","Private","Groundwater",100,0,0,100,NA,33,0,0,0,33,"Small Community","5/10/2016","CHICO","Treatment or distribution operator of any grade","Distribution Operator Level 1",27281,33875,22765,35805,102071
"BUTTE",2012,"CA0400049","MCL,  AVERAGE","LPA34 - BUTTE COUNTY",7,"BUTTE CREEK MHP","Community","Community","ACTIVE","Private","Groundwater",100,0,0,100,NA,33,0,0,0,33,"Small Community","5/10/2016","CHICO","Treatment or distribution operator of any grade","Distribution Operator Level 1",27281,33875,22765,35805,102071
"BUTTE",2018,"CA0400049","STATE PRIMARY MCL VIOL - NOT CR6","LPA34 - BUTTE COUNTY",4,"BUTTE CREEK MHP","Community","Community","ACTIVE","Private","Groundwater",100,0,0,100,NA,33,0,0,0,33,"Small Community","5/10/2016","CHICO","Treatment or distribution operator of any grade","Distribution Operator Level 1",27124,34419,26598,39099,100572
"BUTTE",2018,"CA0400063","STATE PRIMARY MCL VIOL - NOT CR6","LPA34 - BUTTE COUNTY",1,"MANZANITA ELEMENTARY SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,295,0,295,NA,3,0,0,0,3,"#N/A","4/15/2013","GRIDLEY","#N/A","Distribution Operator Level 1",27124,34419,26598,39099,100572
"BUTTE",2018,"CA0400081","STATE PRIMARY MCL VIOL - NOT CR6","LPA34 - BUTTE COUNTY",4,"FEATHER RIDGE ESTATES WATER CO","Community","Community","ACTIVE","Private","Groundwater",12,0,0,12,NA,32,0,0,0,32,"#N/A","6/9/2015","BERRY CREEK","Treatment or distribution operator of any grade","Distribution Operator Level 1",27124,34419,26598,39099,100572
"CALAVERAS",2016,"CA0510012","MCL, LRAA","DISTRICT 10 - STOCKTON",4,"CAMANCHE SOUTH SHORE-EBMUD","Community","Community","ACTIVE","Local","Surface Water",180,0,0,180,NA,448,0,0,0,448,"Small Community","10/22/2015","VALLEY SPRINGS,","Treatment Operator Level 3","Distribution Operator Level 2",4071,5052,7597,4716,23355
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
